Test ID,Test Category,Test Name,Test Steps,Expected Result,Priority,Related Requirements,Status
UI-001,UIチャット動作,基本的なチャット表示,1. チャットUIにアクセス 2. 質問を入力 3. 送信ボタンをクリック,質問と回答がUIに正しく表示される,High,機能的正確性,Not Tested
UI-002,UIチャット動作,長文回答の表示,1. チャットUIにアクセス 2. 複雑な質問を入力 3. 送信ボタンをクリック,長文回答が適切にフォーマットされて表示される,Medium,ユーザビリティ,Not Tested
UI-003,UIチャット動作,エラー表示,1. チャットUIにアクセス 2. サーバーエラーを発生させる条件で質問 3. 送信ボタンをクリック,ユーザーフレンドリーなエラーメッセージが表示される,Medium,ユーザビリティ,Not Tested
FAQ-001,FAQ検索(ローカルDB),既存FAQの正確な検索,1. DBに存在する質問を入力 2. 送信ボタンをクリック,DBから正確な回答が返される,High,機能的正確性,Not Tested
FAQ-002,FAQ検索(ローカルDB),類似質問の検索,1. DBに存在する質問の言い回しを変えて入力 2. 送信ボタンをクリック,類似度に基づいて適切な回答が返される,High,機能的正確性,Not Tested
FAQ-003,FAQ検索(ローカルDB),該当なし検出,1. DBに存在しない質問を入力 2. 送信ボタンをクリック,「該当なし」が適切に検出される,Medium,機能的正確性,Not Tested
AI-001,AIフォールバック,DBに無い質問への回答,1. DBに存在しない質問を入力 2. 送信ボタンをクリック,外部AIが呼び出され適切な回答が返される,High,機能的正確性,Not Tested
AI-002,AIフォールバック,不適切な質問の拒否,1. 不適切/回答不可な質問を入力 2. 送信ボタンをクリック,適切に回答拒否のメッセージが表示される,High,機能的正確性,Not Tested
AI-003,AIフォールバック,AI応答の丁寧さ,1. 一般的な質問を入力 2. 送信ボタンをクリック,丁寧な言葉遣いで回答が返される,Medium,ユーザビリティ,Not Tested
CSV-001,CSVインポート,有効なCSVファイルのインポート,1. 管理者としてログイン 2. CSVインポート機能にアクセス 3. 有効なCSVファイルをアップロード,全レコードが正しくDBに反映される,High,機能的正確性,Not Tested
CSV-002,CSVインポート,無効なCSVファイルの検出,1. 管理者としてログイン 2. CSVインポート機能にアクセス 3. 無効なフォーマットのCSVファイルをアップロード,適切なエラーメッセージが表示される,Medium,機能的正確性,Not Tested
CSV-003,CSVインポート,大容量CSVファイルの処理,1. 管理者としてログイン 2. CSVインポート機能にアクセス 3. 大容量CSVファイルをアップロード,タイムアウトせずに処理が完了する,Medium,パフォーマンス,Not Tested
AUTH-001,認証/認可,一般ユーザーアクセス制限,1. 一般ユーザーとしてログイン 2. FAQ編集機能にアクセスを試みる,アクセス拒否され適切なメッセージが表示される,High,セキュリティ,Not Tested
AUTH-002,認証/認可,管理者権限確認,1. 管理者としてログイン 2. FAQ編集機能にアクセス,編集機能が利用可能になる,High,セキュリティ,Not Tested
AUTH-003,認証/認可,未認証アクセス制限,1. ログインせずに 2. 保護されたAPIエンドポイントにアクセスを試みる,401/403エラーが返される,High,セキュリティ,Not Tested
PERF-001,負荷試験,通常負荷応答時間,1. 10req/secの負荷をかける 2. 応答時間を計測,平均応答時間が3秒以内,High,パフォーマンス,Not Tested
PERF-002,負荷試験,高負荷応答時間,1. 50req/secの負荷をかける 2. 応答時間を計測,平均応答時間が3秒以内,Medium,パフォーマンス,Not Tested
PERF-003,負荷試験,エラー率確認,1. 50req/secの負荷をかける 2. エラー率を計測,エラー率が1%以下,High,パフォーマンス,Not Tested
SEC-001,セキュリティスキャン,XSS脆弱性検査,1. 自動スキャンツールを実行 2. 手動でXSS攻撃を試みる,XSS脆弱性が検出されない,High,セキュリティ,Not Tested
SEC-002,セキュリティスキャン,SQLインジェクション検査,1. 自動スキャンツールを実行 2. 手動でSQLインジェクションを試みる,SQLインジェクション脆弱性が検出されない,High,セキュリティ,Not Tested
SEC-003,セキュリティスキャン,CSRF対策確認,1. CSRFトークンの実装を確認 2. CSRF攻撃を試みる,CSRF攻撃が防止される,High,セキュリティ,Not Tested
SEC-004,セキュリティスキャン,npm audit実行,1. npm auditコマンドを実行,Highリスクの脆弱性が0件,High,セキュリティ,Not Tested
LOG-001,ロギング/監視,エラーログ出力確認,1. エラーを発生させる 2. ログ出力を確認,スタックトレースを含む詳細なエラーログが出力される,Medium,可観測性,Not Tested
LOG-002,ロギング/監視,リソース使用率監視,1. 高負荷をかける 2. CPU/メモリ使用率を監視,CPU使用率80%でアラートが発生する,Medium,可観測性,Not Tested
LOG-003,ロギング/監視,アクセスログ確認,1. 各種APIにアクセス 2. アクセスログを確認,アクセス情報が適切に記録される,Low,可観測性,Not Tested
INT-001,結合テスト,DB-API連携,1. APIエンドポイントを呼び出す 2. DB操作の結果を確認,APIからDBへの操作が正しく行われる,High,機能的正確性,Not Tested
INT-002,結合テスト,AI-API連携,1. DBに無い質問でAPIを呼び出す 2. AI連携の結果を確認,APIから外部AIへの連携が正しく行われる,High,機能的正確性,Not Tested
INT-003,結合テスト,CSVインポート-DB連携,1. CSVインポート機能を使用 2. DB反映結果を確認,CSVデータが正しくDBに反映される,High,機能的正確性,Not Tested
